symbol,address,type,gauges,fees,bribes,algebra_pool
PSTAKE/BUSD,0x67e51f1de32318f3a27265287ed766839a62cf13,Volatile,0xdf82f7c62B6e0bFbF36fd3fd3e9Cc174179a9642,0xf0676A022Bc73c160fAF1eae79046e6652226fcD,0x670A2AE0389df544cBb2F093f77A33CD3a206717,0
ankrBNB/BNB,0x9c9ead6cfd1ed4dd17cd44eb12229364dd541697,Volatile,0x177e465f495299b092BB3929BAF01Daf36FA54AC,0x41924d036D0AD928176396fF400872584EA0aBEc,0x99ABd4e626Ca5f1ee8E7f27Cc508f54cc64F2Aab,0
lisUSD/USDT,0x6ce8014488877f91234ef23012193de6bb0009a8,Stable,0xF5f8B4536eFdA6272032a7d77C054148DfDC0495,0xfA091a4F409B7bFF797Ba7De46964ec32aBE0028,0xa99159c9686B873124E0C35A76A6f145C2A6CC14,0
ankrBNB/THE,0x3575155f5b0eada1e4fda5bc84e2c2c7cef1d9f2,Volatile,0xaFcD9BE5311d3886C08D52E4FA77a30386db7597,0x3980510C3617E1A5aeDe43Cbf7c2e821AD4897bc,0x5EbCc3dfFe1065a4c489D68C10750d09A9084E6b,0
jBRL/BNB,0xf019759f450c8a1c8cfd4e9ecd34e09f72d7fae5,Volatile,0x7fDf58A330cdA58C9dCfaf936367116cF806139E,0x15f2EB640bb953A82243542fF1c6729D11aDCEB9,0xe04c84354a8c4DF047AE6DFC57f9BEafFe11C3d2,0
USDT/ERN,0x3666f5900e50870e2f84b9a7a26a1ec68adea8bb,Stable,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0
CSIX/USDT,0xce7c38ece02b55070208b2e070585ea5321748e1,Volatile,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0
ankrBNB/BNB,0xfa0429a7eab25ec8d31e247e725afd931cf6bdfe,Stable,0x6A1fFaDe4407Af4Fe3c3c9Ae47814334366C0e5f,0x002ee26A5909431306D467A0BC57E8Af5187450B,0x70629C8054f85CBAfAD65226Dc7334619F38F49C,0
USDT/IPAD,0x9a5060c8d45a0be40d2e0fc4c4bd40b81b948f16,Volatile,0x3205CB6af307465bA1BAab5450Bb23b915546f4F,0x7808BafFf5D332BB256Ea5BD5604B54Df81757c1,0x79b99dD668e31cE49558d4719746EdDE94AAe932,0
NGL/USDT,0xd949476184b9c94ed2130e8175d4139654ce2339,Volatile,0x292808a49f981A0D442feABDF1e822DB01EbA0E2,0x586868AE41C4682dc5390A7C1273565B10179082,0xabb81A71f6f72009A7867e2f7c6BFb8D6402A2Ed,0
BETS/BNB,0x21f60af65ba9a20c3320b6938aaa60237f6beea8,Volatile,0xa6Db1ea1aeceA1089F815d92Ca30B34c17610B47,0xd920356C401aecAe3D082f50293E5D0d0734EEa8,0xF9DA23f905f24381f2966ceBc94b38996869E2F9,0
USDT/PENDLE,0x094b905cca7b4afe244b1cb85361d463a280aaf5,Volatile,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0
USDT/TAROT,0x2c4166641d5293551190c9f01ac50d0b6abd7086,Volatile,0x1560D23c5DB98d78537253332b067A6B8981E432,0xa0d6d0f08E5f37C4A91165cf7365e6DCb1926C51,0x8D4C8B25620dFb89B9F9BD7654252b9bfAc8F2d7,0
BTCB/BNB,0xa76f85e67269d50e2e27cd840061ae76353ca3e3,DefiEdge,0xB1aC77e4F5D1bF5a6B9D2e7DBc27e28dFdE7D926,0x92cF69d3824518d8B7c15E52100E453f8747f618,0xc7E5Da4e8420BaF497A92a8ca5a6d0B3c97c3468,0
BTCB/USDC,0x16348c6e93ac30604555d7fe74347c606e5d520a,Volatile,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0
ankrBNB/XVS,0x2f25c65815c4b9b80468c3a7228699d33a2d33f4,Wide,0x86E0d396763Ee02869C5D425AfB74F1534ce2e1F,0xd81A1b1587374406882e18D8a37573d968194D9A,0xD2aFcc8B5fe91a547d549062D5A0cf5960Ec8265,0
BTCB/BNB,0x1c19e640d2509d3a5cebdadd35925e4492e9fea0,ICHI,0x8b94E4cDA12F3fd7ff26929deA3C2b41B3f3FeF9,0x0b261bEFdcbca9FCd627D56B8a40287004D8E183,0xfe3f841da036A76278f7F82cD6a9f53285fCaEC1,0
ETH/BNB,0x2f708f0a0945db7269b01be252e1c9f201186055,DefiEdge,0x5A1D548E2fE4B0Da80394d0497B3ad7A20A9BC5E,0xf243c26651DC992C13afa01462E8Dd19c76C62C6,0x787FD141D4CbCDDBEc1Ea3167E0c340D294f345B,0
OATH(old)/LQDR,0x32629ff547f1e619f4c37a84fd66624ca0ab01d8,Volatile,0xbcBBE1aC1E23c86153b828a15c9DC027cb299cf8,0x702841FF845b878dCB83b2874469Eb624946B1af,0xF8ef74E4a2FF708785e0c41E92ECe16F47D94Fd5,0
SOL/BNB,0x936d06d7bf9bd851c6cbee3c18da654659f4ebfd,Narrow,0xEC4cfFbbD5B4391c661345d6961220FB97d38db7,0xfc20c1d0a4F243D050dB7371370e43D7BB0499cc,0x75Fc85D96F37eE4D6516de74d95386ef34d6397a,0
USDT/BNB,0x468e041af71b28be7c3b2ad9f91696a0206f0053,ICHI,0x3b5Ab310458D13d39Fc6d65506EB1807F3907449,0x742396b8066f8A7A31B6e381918a72e4DEC2dc65,0x3375aB8DEdBf0A83F8C54Ad475E6E48b42df19a8,0
ETH/frxETH,0x8a420aaca0c92e3f97cdcfdd852e01ac5b609452,Stable,0xeF206aF047F687529Be45c435256BEEB391fcec8,0x7FABFd1363065535681CDF3fCdc948e868c5A5D3,0x3a007F34B10A8C7af73af7Bd6e4F833dadc5225D,0
jEUR/BNB,0x18d6583a0238c141ebeb3ba3e39ba4481312ed37,Volatile,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0
ETH/KOL,0x74a4f4722a4c105ecb9be131a86d1e0344d4e6aa,Volatile,0x14f6D7042662146627d07762eEd0db3Dbaa63da2,0x5233E23f73E8E20B0682e13fA840045E24844258,0xCb107E54cF9814d6d4104Db7eD681AC845b51f12,0
